
2024/11/29 (00:17:04) | ===> btop++ v.1.4.0
2024/11/29 (00:17:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (00:50:23) | ===> btop++ v.1.4.0
2024/11/29 (00:50:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (00:53:14) | ===> btop++ v.1.4.0
2024/11/29 (00:53:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (01:01:33) | ===> btop++ v.1.4.0
2024/11/29 (01:01:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (02:26:57) | ===> btop++ v.1.4.0
2024/11/29 (02:26:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (12:44:31) | ===> btop++ v.1.4.0
2024/11/29 (12:44:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (12:50:42) | ===> btop++ v.1.4.0
2024/11/29 (12:50:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (14:42:52) | ===> btop++ v.1.4.0
2024/11/29 (14:42:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (14:54:15) | ===> btop++ v.1.4.0
2024/11/29 (14:54:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (17:20:12) | ===> btop++ v.1.4.0
2024/11/29 (17:20:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (17:20:12) | ===> btop++ v.1.4.0
2024/11/29 (17:20:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (17:22:15) | ===> btop++ v.1.4.0
2024/11/29 (17:22:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (15:30:51) | ===> btop++ v.1.4.0
2024/11/30 (15:30:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (15:35:38) | ===> btop++ v.1.4.0
2024/11/30 (15:35:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (06:59:51) | ===> btop++ v.1.4.0
2024/12/04 (06:59:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (07:00:36) | ===> btop++ v.1.4.0
2024/12/04 (07:00:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (17:46:36) | ===> btop++ v.1.4.0
2024/12/05 (17:46:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (18:21:30) | ===> btop++ v.1.4.0
2024/12/27 (18:21:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (18:22:17) | ===> btop++ v.1.4.0
2024/12/27 (18:22:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (18:25:48) | ===> btop++ v.1.4.0
2024/12/27 (18:25:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (21:53:07) | ===> btop++ v.1.4.0
